Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
1;Max Aarons;ENG;DF;Bournemouth;eng Premier League;23;2000;20;13;1237;13.7;0;1;1;0;0;0;1;0;0.0;0.0;0.8;0.9;22;43;26;0.00;0.07;0.07;0.00;0.07;0.00;0.06;0.06;0.00;0.06
2;Brenden Aaronson;USA;MF,FW;Union Berlin;de Bundesliga;22;2000;30;14;1267;14.1;2;2;4;2;0;0;3;1;2.0;2.0;1.9;3.8;37;56;91;0.14;0.14;0.28;0.14;0.28;0.14;0.13;0.27;0.14;0.27
3;Paxten Aaronson;USA;MF;Eint Frankfurt;de Bundesliga;19;2003;7;1;101;1.1;0;1;1;0;0;0;0;0;0.1;0.1;0.1;0.2;2;5;7;0.00;0.89;0.89;0.00;0.89;0.11;0.07;0.19;0.11;0.19
4;Keyliane Abdallah;FRA;FW;Marseille;fr Ligue 1;17;2006;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5;Yunis Abdelhamid;MAR;DF;Reims;fr Ligue 1;35;1987;31;31;2781;30.9;4;0;4;3;1;1;5;0;3.4;2.6;0.3;2.9;36;137;9;0.13;0.00;0.13;0.10;0.10;0.11;0.01;0.12;0.09;0.09
6;Salis Abdul Samed;GHA;MF;Lens;fr Ligue 1;23;2000;27;17;1519;16.9;0;0;0;0;0;0;2;0;0.8;0.8;0.5;1.3;9;78;20;0.00;0.00;0.00;0.00;0.00;0.05;0.03;0.08;0.05;0.08
7;Nabil Aberdin;FRA;DF;Getafe;es La Liga;20;2002;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8;Laurent Abergel;FRA;MF;Lorient;fr Ligue 1;30;1993;33;32;2860;31.8;2;1;3;2;0;0;4;0;1.1;1.1;2.2;3.3;38;194;51;0.06;0.03;0.09;0.06;0.09;0.04;0.07;0.10;0.04;0.10
9;Matthis Abline;FRA;FW;Nantes;fr Ligue 1;20;2003;22;12;1044;11.6;5;0;5;5;0;0;1;0;3.8;3.8;2.0;5.8;28;20;87;0.43;0.00;0.43;0.43;0.43;0.33;0.17;0.50;0.33;0.50
10;Abner;BRA;DF;Betis;es La Liga;23;2000;23;15;1400;15.6;0;1;1;0;0;0;3;0;0.1;0.1;1.0;1.1;14;33;58;0.00;0.06;0.06;0.00;0.06;0.01;0.06;0.07;0.01;0.07
